iter	Passed	Remaining
0	22	22184
1	29	14735
2	35	11854
3	39	9955
4	44	8901
5	49	8166
6	54	7707
7	59	7406
8	65	7246
9	69	6921
10	74	6731
11	79	6535
12	84	6399
13	88	6234
14	94	6235
15	99	6092
16	103	6002
17	109	5990
18	114	5930
19	119	5836
20	124	5825
21	131	5829
22	135	5753
23	140	5719
24	145	5663
25	149	5595
26	153	5537
27	158	5501
28	163	5473
29	167	5419
30	173	5426
31	177	5382
32	182	5361
33	188	5350
34	193	5335
35	197	5297
36	203	5286
37	207	5260
38	212	5226
39	216	5187
40	222	5201
41	228	5212
42	233	5192
43	238	5181
44	242	5150
45	246	5122
46	253	5133
47	257	5110
48	261	5084
49	266	5060
50	272	5078
51	278	5073
52	283	5059
53	288	5061
54	293	5035
55	298	5026
56	303	5024
57	309	5024
58	313	4996
59	318	4989
60	322	4966
61	327	4954
62	331	4933
63	338	4945
64	343	4942
65	348	4937
66	353	4928
67	359	4926
68	363	4908
69	369	4913
70	374	4903
71	379	4885
72	384	4886
73	389	4869
74	393	4851
75	399	4852
76	403	4840
77	408	4825
78	413	4818
79	418	4813
80	423	4801
81	427	4787
82	433	4786
83	439	4790
84	444	4787
85	449	4780
86	455	4775
87	459	4760
88	464	4755
89	469	4749
90	474	4737
91	479	4727
92	484	4727
93	488	4712
94	494	4711
95	499	4702
96	506	4713
97	515	4743
98	525	4784
99	535	4819
100	540	4809
101	545	4804
102	551	4799
103	555	4787
104	561	4789
105	566	4776
106	571	4765
107	577	4767
108	584	4779
109	590	4780
110	599	4801
111	604	4796
112	612	4805
113	617	4798
114	623	4795
115	629	4798
116	636	4801
117	641	4798
118	647	4790
119	652	4784
120	657	4772
121	661	4764
122	666	4754
123	671	4742
124	676	4735
125	680	4721
126	685	4710
127	691	4709
128	696	4703
129	700	4688
130	707	4695
131	721	4745
132	729	4757
133	734	4747
134	739	4739
135	749	4759
136	756	4767
137	762	4762
138	767	4757
139	774	4755
140	778	4743
141	783	4734
142	789	4729
143	795	4728
144	800	4720
145	807	4721
146	812	4713
147	818	4711
148	823	4705
149	829	4700
150	836	4705
151	843	4704
152	848	4697
153	854	4696
154	860	4689
155	866	4687
156	872	4686
157	878	4679
158	885	4683
159	891	4681
160	896	4671
161	902	4669
162	908	4663
163	914	4660
164	919	4651
165	923	4641
166	928	4630
167	933	4625
168	938	4614
169	943	4607
170	947	4595
171	956	4603
172	963	4607
173	970	4606
174	977	4609
175	984	4608
176	991	4610
177	995	4599
178	1002	4596
179	1006	4585
180	1011	4576
181	1017	4575
182	1023	4567
183	1028	4560
184	1033	4554
185	1038	4546
186	1043	4535
187	1048	4530
188	1054	4525
189	1059	4515
190	1064	4508
191	1068	4497
192	1073	4488
193	1080	4491
194	1085	4483
195	1089	4471
196	1094	4462
197	1099	4453
198	1103	4443
199	1110	4440
200	1117	4443
201	1122	4434
202	1127	4424
203	1133	4423
204	1138	4415
205	1143	4405
206	1150	4407
207	1155	4400
208	1160	4390
209	1165	4384
210	1169	4374
211	1174	4365
212	1179	4357
213	1184	4349
214	1188	4338
215	1193	4330
216	1198	4322
217	1202	4314
218	1206	4304
219	1212	4298
220	1216	4289
221	1221	4281
222	1226	4273
223	1232	4268
224	1236	4258
225	1241	4251
226	1246	4245
227	1251	4236
228	1255	4226
229	1262	4225
230	1266	4216
231	1271	4209
232	1277	4203
233	1282	4197
234	1286	4187
235	1291	4182
236	1296	4173
237	1301	4165
238	1306	4159
239	1311	4151
240	1315	4141
241	1320	4135
242	1325	4128
243	1330	4121
244	1334	4112
245	1339	4106
246	1343	4097
247	1348	4090
248	1353	4082
249	1359	4078
250	1363	4070
251	1370	4068
252	1375	4060
253	1379	4052
254	1384	4044
255	1389	4038
256	1393	4029
257	1399	4023
258	1403	4015
259	1408	4007
260	1412	3999
261	1417	3993
262	1422	3986
263	1427	3979
264	1431	3970
265	1436	3964
266	1440	3955
267	1445	3948
268	1449	3939
269	1455	3935
270	1459	3927
271	1464	3920
272	1469	3914
273	1475	3909
274	1479	3900
275	1485	3895
276	1490	3891
277	1495	3883
278	1499	3876
279	1507	3875
280	1511	3868
281	1517	3862
282	1522	3856
283	1527	3851
284	1533	3846
285	1538	3839
286	1542	3832
287	1546	3824
288	1553	3822
289	1557	3813
290	1562	3807
291	1569	3806
292	1574	3800
293	1579	3791
294	1585	3789
295	1591	3784
296	1595	3777
297	1605	3782
298	1611	3777
299	1617	3773
300	1623	3770
301	1630	3767
302	1636	3763
303	1641	3758
304	1646	3752
305	1653	3749
306	1658	3744
307	1666	3743
308	1672	3740
309	1678	3736
310	1684	3732
311	1690	3727
312	1695	3720
313	1702	3719
314	1708	3715
315	1715	3714
316	1724	3715
317	1732	3716
318	1738	3710
319	1743	3705
320	1749	3700
321	1753	3693
322	1759	3688
323	1767	3687
324	1772	3680
325	1777	3675
326	1783	3670
327	1788	3663
328	1795	3661
329	1817	3689
330	1822	3683
331	1829	3681
332	1835	3675
333	1839	3667
334	1846	3665
335	1851	3659
336	1857	3653
337	1864	3652
338	1868	3644
339	1875	3640
340	1881	3636
341	1886	3630
342	1892	3625
343	1899	3621
344	1904	3615
345	1914	3618
346	1918	3610
347	1926	3609
348	1933	3606
349	1939	3602
350	1945	3597
351	1951	3592
352	1956	3586
353	1963	3583
354	1969	3578
355	1976	3575
356	1982	3570
357	1988	3565
358	1994	3562
359	2000	3556
360	2006	3551
361	2014	3550
362	2020	3545
