iter	Passed	Remaining
0	7	7399
1	14	7409
2	20	6845
3	27	6830
4	32	6499
5	38	6384
6	44	6315
7	49	6186
8	55	6095
9	60	6033
10	65	5904
11	70	5815
12	75	5757
13	80	5700
14	85	5637
15	91	5632
16	97	5609
17	102	5579
18	107	5550
19	112	5522
20	117	5487
21	123	5500
22	128	5471
23	133	5440
24	140	5462
25	145	5468
26	151	5454
27	157	5477
28	164	5496
29	170	5505
30	176	5525
31	182	5506
32	188	5512
33	194	5513
34	199	5494
35	206	5528
36	212	5525
37	217	5503
38	223	5503
39	230	5531
40	237	5547
41	243	5545
42	250	5574
43	256	5574
44	264	5613
45	270	5614
46	276	5597
47	281	5589
48	287	5587
49	294	5587
50	299	5581
51	305	5563
52	310	5542
53	315	5519
54	321	5515
55	326	5500
56	331	5486
57	336	5465
58	341	5445
59	347	5441
60	352	5422
61	357	5402
62	362	5387
63	367	5374
64	372	5358
65	377	5338
66	382	5332
67	388	5317
68	392	5301
69	398	5295
70	403	5279
71	408	5264
72	413	5253
73	418	5238
74	423	5221
75	428	5215
76	434	5207
77	439	5198
78	445	5188
79	450	5178
80	455	5167
81	461	5161
82	467	5162
83	472	5149
84	477	5139
85	483	5138
86	489	5141
87	495	5135
88	501	5135
89	507	5129
90	514	5135
91	519	5127
92	524	5118
93	530	5114
94	536	5106
95	541	5097
96	546	5089
97	551	5079
98	557	5069
99	562	5062
100	567	5050
101	573	5047
102	579	5047
103	585	5040
104	590	5032
105	595	5023
106	600	5015
107	606	5007
108	612	5003
109	617	4995
110	623	4990
111	628	4985
112	633	4976
113	639	4967
114	644	4961
115	649	4951
116	654	4941
117	660	4940
118	666	4936
119	673	4936
120	679	4936
121	685	4932
122	691	4932
123	697	4924
124	702	4915
125	707	4909
126	712	4897
127	717	4887
128	723	4883
129	728	4875
130	733	4864
131	740	4871
132	747	4870
133	752	4860
134	757	4853
135	763	4852
136	769	4848
137	776	4851
138	782	4848
139	789	4847
140	794	4838
141	798	4827
142	804	4820
143	810	4818
144	816	4811
145	820	4802
146	826	4797
147	831	4788
148	837	4781
149	842	4774
150	847	4765
151	852	4757
152	858	4751
153	864	4749
154	869	4741
155	875	4736
156	880	4730
157	885	4721
158	891	4717
159	896	4707
160	902	4701
161	908	4699
162	914	4693
163	919	4687
164	925	4681
165	931	4679
166	937	4676
167	944	4676
168	949	4670
169	956	4669
170	962	4666
171	968	4661
172	973	4655
173	979	4648
174	984	4641
175	990	4635
176	995	4627
177	1001	4625
178	1008	4626
179	1014	4621
180	1020	4617
181	1027	4615
182	1032	4607
183	1038	4604
184	1043	4597
185	1048	4590
186	1053	4582
187	1059	4574
188	1064	4566
189	1070	4562
190	1075	4553
191	1080	4545
192	1085	4539
193	1090	4530
194	1095	4523
195	1101	4518
196	1106	4511
197	1111	4503
198	1117	4498
199	1122	4490
200	1127	4483
201	1133	4477
202	1138	4470
203	1143	4463
204	1149	4458
205	1154	4450
206	1159	4442
207	1165	4438
208	1171	4433
209	1176	4425
210	1182	4420
211	1186	4411
212	1191	4403
213	1197	4398
214	1203	4394
215	1208	4386
216	1214	4383
217	1219	4375
218	1224	4367
219	1230	4363
220	1235	4356
221	1240	4347
222	1245	4341
223	1252	4337
224	1257	4330
225	1263	4326
226	1269	4321
227	1273	4313
228	1279	4307
229	1283	4297
230	1288	4288
231	1292	4279
232	1297	4271
233	1302	4262
234	1306	4253
235	1312	4247
236	1316	4238
237	1321	4230
238	1326	4223
239	1331	4215
240	1335	4206
241	1340	4198
242	1346	4193
243	1350	4185
244	1355	4176
245	1360	4170
246	1365	4164
